step,x,y
0,0,0
1,0,1
2,0,2
3,1,2
4,1,1
5,1,0
6,2,0
7,2,1
8,2,2
9,3,2
10,3,1
11,3,0
12,4,0
13,5,0
14,5,1
15,4,1
16,4,2
17,5,2
18,5,3
19,4,3
20,3,3
21,2,3
22,1,3
23,0,3
24,0,4
25,1,4
26,2,4
27,3,4
28,4,4
29,5,4
30,5,5
31,4,5
32,3,5
33,2,5
34,1,5
35,0,5
36,0,6
37,1,6
38,2,6
39,3,6
40,4,6
41,5,6
42,5,7
43,4,7
44,3,7
45,2,7
46,1,7
47,0,7
48,0,8
49,1,8
50,2,8
51,2,9
52,1,9
53,0,9
54,0,10
55,0,11
56,1,11
57,1,10
58,2,10
59,2,11
60,3,11
61,3,10
62,3,9
63,3,8
64,4,8
65,4,9
66,4,10
67,4,11
68,5,11
69,5,10
70,5,9
71,5,8
72,6,8
73,6,9
74,6,10
75,6,11
76,7,11
77,7,10
78,7,9
79,7,8
80,8,8
81,8,9
82,8,10
83,8,11
84,9,11
85,9,10
86,10,10
87,10,11
88,11,11
89,11,10
90,11,9
91,10,9
92,9,9
93,9,8
94,10,8
95,11,8
96,11,7
97,10,7
98,9,7
99,8,7
100,7,7
101,6,7
102,6,6
103,7,6
104,8,6
105,9,6
106,10,6
107,11,6
108,11,5
109,10,5
110,9,5
111,8,5
112,7,5
113,6,5
114,6,4
115,7,4
116,8,4
117,9,4
118,10,4
119,11,4
120,11,3
121,10,3
122,9,3
123,8,3
124,7,3
125,6,3
126,6,2
127,7,2
128,7,1
129,6,1
130,6,0
131,7,0
132,8,0
133,8,1
134,8,2
135,9,2
136,9,1
137,9,0
138,10,0
139,10,1
140,10,2
141,11,2
142,11,1
143,11,0
